Provincia,Populacao,Area_km2,Densidade_hab_km2
Ontario,14734014,1076395,13.68829658257424
Quebec,8682464,1542056,5.630446624506503
British Columbia,5194800,944735,5.49868481637708
Alberta,4612195,661848,6.968661988855447
Manitoba,1379263,647797,2.1291592890982822
Saskatchewan,1178681,651036,1.8104697743289158
Nova Scotia,969383,55284,17.53460314014905
New Brunswick,794300,72908,10.89455203818511
Newfoundland and Labrador,522875,405212,1.2903739277217852
Prince Edward Island,167680,5684,29.500351864883886
